minute,team,stand_heim,stand_gast,spieler,ereignis
0.65,Heim,1.0,0.0,"Pick, Julian",Tor
1.9666666666666668,Gast,1.0,1.0,"Lange, Jonas",Tor
4.033333333333333,Gast,1.0,2.0,"Lange, Erik",Tor
7.8,Gast,1.0,3.0,"Witzke, Christopher",Tor
8.416666666666666,Heim,2.0,3.0,"Siepert, Florian",Tor
8.766666666666667,Gast,2.0,4.0,"Schmidt, Marcel",Tor
11.2,Gast,2.0,5.0,"Kristandt, André",Tor
13.416666666666666,Gast,2.0,6.0,"Lange, Erik",Tor
15.333333333333334,Heim,3.0,6.0,"Dieckmann, Lars",Tor
16.05,Gast,3.0,7.0,"Lange, Erik",Tor
17.3,Heim,4.0,7.0,"Pick, Julian",Tor
18.366666666666667,Heim,5.0,7.0,"Noll, Sven",Tor
21.1,Gast,5.0,8.0,"Lange, Erik",Tor
22.2,Gast,5.0,9.0,"Lange, Erik",Tor
23.333333333333332,Heim,6.0,9.0,"Schulz, Cedric",Tor
23.8,Gast,6.0,10.0,"Lange, Erik",Tor
24.316666666666666,Heim,7.0,10.0,"Siepert, Florian",Tor
25.333333333333332,Heim,8.0,10.0,"Langemeyer, Florian",Tor
26.35,Heim,9.0,10.0,"Siepert, Florian",Tor
27.683333333333334,Heim,10.0,10.0,"Schulz, Cedric",Tor
28.966666666666665,Heim,11.0,10.0,"Schulz, Cedric",Tor
30.75,Heim,12.0,10.0,"Pick, Julian",Tor
32.28333333333333,Heim,13.0,10.0,"Schulz, Cedric",7m-Tor
32.75,Gast,13.0,11.0,"Lange, Jonas",Tor
32.93333333333333,Heim,14.0,11.0,"Noll, Sven",Tor
33.81666666666667,Gast,14.0,12.0,"Lange, Erik",Tor
34.016666666666666,Heim,15.0,12.0,"Tepp, Adrian",Tor
35.25,Heim,16.0,12.0,"Noll, Sven",Tor
36.1,Heim,17.0,12.0,"Langemeyer, Florian",Tor
38.15,Heim,18.0,12.0,"Tepp, Adrian",Tor
39.61666666666667,Heim,19.0,12.0,"Langemeyer, Florian",Tor
40.5,Heim,20.0,12.0,"Hallmann, Marvin",Tor
41.46666666666667,Gast,20.0,13.0,"Luettmann, Kilian",7m-Tor
42.5,Heim,21.0,13.0,"Schulz, Cedric",7m-Tor
43.15,Heim,22.0,13.0,"Pick, Julian",Tor
44.916666666666664,Heim,23.0,13.0,"Hallmann, Marvin",Tor
46.86666666666667,Gast,23.0,14.0,"Lange, Erik",Tor
47.6,Gast,23.0,15.0,"Kristandt, André",Tor
49.21666666666667,Heim,24.0,15.0,"Kulisch, Björn Ole",Tor
52.2,Gast,24.0,16.0,"Lamken, Felix",Tor
52.9,Heim,25.0,16.0,"Kulisch, Björn Ole",Tor
53.61666666666667,Gast,25.0,17.0,"Luettmann, Kilian",7m-Tor
54.5,Gast,25.0,18.0,"Lange, Erik",Tor
55.833333333333336,Gast,25.0,19.0,"Luettmann, Kilian",Tor
56.15,Heim,26.0,19.0,"Bahn, Kjell",Tor
56.38333333333333,Heim,27.0,19.0,"Bahn, Kjell",Tor
56.7,Gast,27.0,20.0,"Lange, Jonas",Tor
57.3,Heim,28.0,20.0,"Siepert, Florian",Tor
58.266666666666666,Gast,28.0,21.0,"Lange, Jonas",Tor
58.666666666666664,Heim,29.0,21.0,"Bahn, Kjell",Tor
