minute,team,stand_heim,stand_gast,spieler,ereignis
1.0166666666666666,Heim,1.0,0.0,"Wietfeld, Jonas",Tor
5.45,Heim,2.0,0.0,"Krause, Hannes",Tor
6.433333333333334,Heim,3.0,0.0,"Krause, Hannes",Tor
7.516666666666667,Heim,4.0,0.0,"Benefeldt, Niklas",Tor
8.8,Gast,4.0,1.0,"Schenzel, Carl",7m-Tor
9.483333333333333,Heim,5.0,1.0,"Krause, Hannes",Tor
10.266666666666667,Heim,6.0,1.0,"Krause, Hannes",Tor
11.0,Gast,6.0,2.0,"Schenzel, Carl",Tor
11.7,Gast,6.0,3.0,"Berg, Steven",Tor
13.0,Heim,7.0,3.0,"Rauls, Lennart",Tor
13.633333333333333,Gast,7.0,4.0,"Schenzel, Carl",Tor
16.683333333333334,Heim,8.0,4.0,"Wietfeld, Jonas",Tor
17.35,Gast,8.0,5.0,"Matthies, Marcel",Tor
18.383333333333333,Heim,9.0,5.0,"Borsum, Phil",Tor
19.916666666666668,Heim,10.0,5.0,"Bendrien, Paul",Tor
20.816666666666666,Gast,10.0,6.0,"Schenzel, Carl",7m-Tor
21.15,Heim,11.0,6.0,"Wietfeld, Jonas",Tor
22.366666666666667,Gast,11.0,7.0,"Lange, Niklas Alexander",Tor
23.133333333333333,Gast,11.0,8.0,"Ahrens, Jaron",Tor
26.516666666666666,Heim,12.0,8.0,"Krause, Hannes",7m-Tor
29.016666666666666,Heim,13.0,8.0,"Benefeldt, Niklas",Tor
30.55,Gast,13.0,9.0,"Berg, Steven",Tor
30.883333333333333,Gast,13.0,10.0,"Dekarz, Bendix",Tor
31.5,Gast,13.0,11.0,"Jübermann, Jens",Tor
32.03333333333333,Heim,14.0,11.0,"Krause, Hannes",Tor
32.916666666666664,Heim,15.0,11.0,"Krause, Hannes",7m-Tor
33.65,Gast,15.0,12.0,"Matthies, Alexander",Tor
34.516666666666666,Heim,16.0,12.0,"Krause, Hannes",7m-Tor
36.15,Heim,17.0,12.0,"Krause, Hannes",7m-Tor
36.86666666666667,Gast,17.0,13.0,"Berndt, Jonas",Tor
39.1,Heim,18.0,13.0,"Wietfeld, Jonas",Tor
39.65,Heim,19.0,13.0,"Krause, Hannes",Tor
40.2,Gast,19.0,14.0,"Berndt, Jonas",Tor
41.1,Gast,19.0,15.0,"Dekarz, Bendix",Tor
41.68333333333333,Heim,20.0,15.0,"Borsum, Phil",Tor
42.4,Gast,20.0,16.0,"Jübermann, Jens",Tor
42.9,Heim,21.0,16.0,"Krause, Hannes",7m-Tor
43.666666666666664,Gast,21.0,17.0,"Dekarz, Bendix",Tor
44.88333333333333,Gast,21.0,18.0,"Dekarz, Steffen",Tor
45.516666666666666,Gast,21.0,19.0,"Dekarz, Bendix",Tor
46.95,Gast,21.0,20.0,"Schenzel, Carl",7m-Tor
47.81666666666667,Heim,22.0,20.0,"Wietfeld, Jonas",Tor
48.56666666666667,Gast,22.0,21.0,"Schenzel, Carl",7m-Tor
49.5,Heim,23.0,21.0,"Krause, Hannes",7m-Tor
50.81666666666667,Heim,24.0,21.0,"Wietfeld, Jonas",Tor
51.583333333333336,Gast,24.0,22.0,"Schenzel, Carl",7m-Tor
52.166666666666664,Heim,25.0,22.0,"Wietfeld, Jonas",Tor
53.166666666666664,Heim,26.0,22.0,"Funk, Adrian",Tor
54.3,Gast,26.0,23.0,"Schenzel, Carl",7m-Tor
55.733333333333334,Heim,27.0,23.0,"Krause, Hannes",7m-Tor
56.4,Gast,27.0,24.0,"Berg, Steven",Tor
56.9,Gast,27.0,25.0,"Matthies, Marcel",Tor
58.46666666666667,Heim,28.0,25.0,"Rauls, Niklas",Tor
59.3,Heim,29.0,25.0,"Wietfeld, Jonas",Tor
