minute,team,stand_heim,stand_gast,spieler,ereignis
0.7333333333333333,Heim,1.0,0.0,"Lange, Niklas Alexander",Tor
1.7,Heim,2.0,0.0,"Berndt, Jonas Gaspard",Tor
2.5833333333333335,Gast,2.0,1.0,"Haisel, Gunnar",Tor
3.25,Heim,3.0,1.0,"Lange, Niklas Alexander",Tor
3.8333333333333335,Gast,3.0,2.0,"Weiß, Luca-Elias",7m-Tor
4.333333333333333,Heim,4.0,2.0,"Berg, Steven",Tor
4.433333333333334,Gast,4.0,3.0,"Weiß, Leon",Tor
4.95,Gast,4.0,4.0,"Haisel, Gunnar",Tor
5.05,Heim,5.0,4.0,"Schenzel, Carl",Tor
5.55,Gast,5.0,5.0,"Weiß, Luca-Elias",Tor
6.25,Gast,5.0,6.0,"Weiß, Leon",Tor
7.033333333333333,Gast,5.0,7.0,"Weiß, Luca-Elias",Tor
7.333333333333333,Gast,5.0,8.0,"Weiß, Luca-Elias",Tor
8.983333333333333,Heim,6.0,8.0,"Dekarz, Bendix",Tor
9.15,Gast,6.0,9.0,"Schachtschneider, Nick",Tor
9.9,Heim,7.0,9.0,"Ahrens, Jaron",Tor
11.233333333333333,Heim,8.0,9.0,"Schenzel, Carl",Tor
12.0,Heim,9.0,9.0,"Berndt, Jonas",Tor
13.266666666666667,Heim,10.0,9.0,"Berg, Steven",Tor
13.466666666666667,Gast,10.0,10.0,"Weiß, Luca-Elias",Tor
13.883333333333333,Heim,11.0,10.0,"Berg, Steven",Tor
14.133333333333333,Gast,11.0,11.0,"Weiß, Luca-Elias",7m-Tor
14.966666666666667,Gast,11.0,12.0,"Rudloff, Kjell",Tor
15.783333333333333,Heim,12.0,12.0,"Berndt, Jonas",Tor
17.433333333333334,Gast,12.0,13.0,"Rudloff, Kjell",Tor
18.35,Gast,12.0,14.0,"Kruse, Jan-Luca",Tor
19.266666666666666,Heim,13.0,14.0,"Schenzel, Carl",Tor
20.633333333333333,Heim,14.0,14.0,"Schenzel, Carl",7m-Tor
21.25,Gast,14.0,15.0,"Rudloff, Kjell",Tor
22.466666666666665,Gast,14.0,16.0,"Squillante, Luca",Tor
27.633333333333333,Gast,14.0,17.0,"Dombrowski, Paul",Tor
28.633333333333333,Heim,15.0,17.0,"Schenzel, Carl",Tor
28.8,Gast,15.0,18.0,"Weiß, Leon",Tor
29.933333333333334,Gast,15.0,19.0,"Weiß, Leon",Tor
31.166666666666668,Gast,15.0,20.0,"Weiß, Luca-Elias",7m-Tor
31.716666666666665,Heim,16.0,20.0,"Berg, Steven",Tor
32.86666666666667,Gast,16.0,21.0,"Kruse, Jan-Luca",Tor
33.166666666666664,Heim,17.0,21.0,"Dekarz, Bendix",Tor
33.35,Gast,17.0,22.0,"Pelloux-Fontaine,",Tor
34.333333333333336,Heim,18.0,22.0,"Schenzel, Carl",7m-Tor
35.0,Gast,18.0,23.0,"Haisel, Gunnar",Tor
35.2,Heim,19.0,23.0,"Dekarz, Bendix",Tor
36.25,Heim,20.0,23.0,"Petermichl, Claudio",Tor
37.31666666666667,Gast,20.0,24.0,"Weiß, Luca-Elias",Tor
37.81666666666667,Heim,21.0,24.0,"Schenzel, Carl",Tor
40.45,Heim,22.0,24.0,"Lange, Niklas Alexander",Tor
40.6,Gast,22.0,25.0,"Squillante, Luca",Tor
41.15,Heim,23.0,25.0,"Petermichl, Claudio",Tor
42.53333333333333,Gast,23.0,26.0,"Squillante, Luca",Tor
45.78333333333333,Gast,23.0,27.0,"Weiß, Luca-Elias",7m-Tor
47.15,Heim,24.0,27.0,"Berndt, Jonas",Tor
47.833333333333336,Heim,25.0,27.0,"Pabusch, Steffen",Tor
50.6,Heim,26.0,27.0,"Schenzel, Carl",7m-Tor
52.18333333333333,Gast,26.0,28.0,"Weiß, Luca-Elias",Tor
52.38333333333333,Heim,27.0,28.0,"Berndt, Jonas",Tor
53.28333333333333,Heim,28.0,28.0,"Clemens, Vito",Tor
53.4,Gast,28.0,29.0,"Weiß, Leon",Tor
53.96666666666667,Heim,29.0,29.0,"Lange, Niklas Alexander",Tor
55.9,Gast,29.0,30.0,"Weiß, Luca-Elias",Tor
57.53333333333333,Heim,30.0,30.0,"Clemens, Vito",Tor
59.28333333333333,Gast,30.0,31.0,"Weiß, Luca-Elias",Tor
59.56666666666667,Heim,31.0,31.0,"Clemens, Vito",Tor
