name,team,tore,siebenmeter_tore,siebenmeter_versuche,zweiminuten_strafen,disqualifikation,spieler,tore_aus_events,7m_quote
"Hillebrand, Jannes",SG VfL Wittingen/Stöcken,9,0,0,4,False,,0.0,0.0
"Dieckmann, Lars",TV E. Sehnde,9,0,0,1,False,,0.0,0.0
"Strauss, Lucas",Handballverein Lüneburg,9,0,0,1,False,,0.0,0.0
"Pelloux-Fontaine, Gaspard",Handballverein Lüneburg,8,0,0,0,False,,0.0,0.0
"Lang, Maxim",SG VfL Wittingen/Stöcken,8,0,0,2,False,,0.0,0.0
"Hohls, Friedrich",TV Uelzen,8,0,1,0,False,,0.0,0.0
"Krüger, Nicklas",TV Uelzen,8,0,0,1,False,,0.0,0.0
"Borchert, Darius",MTV Dannenberg,8,0,0,0,False,,0.0,0.0
"Berg, Steven",MTV Eyendorf,8,0,0,4,False,,0.0,0.0
"Laube, Mirko",BTSV Eintr. Braunschweig,8,1,1,0,False,,0.0,100.0
"Rudnik, Maximilian",MTV Groß Lafferde,8,0,0,2,False,,0.0,0.0
"Kulisch, Björn Ole",TV E. Sehnde,8,0,0,3,False,,0.0,0.0
"Langemeyer, Florian",TV E. Sehnde,8,0,0,0,False,,0.0,0.0
"Rauls, Niklas",HSG Nord Edemissen/Uetze,7,0,0,6,False,,0.0,0.0
"Borsum, Phil",HSG Nord Edemissen/Uetze,7,2,2,4,False,,0.0,100.0
"Schiller, Marvin",SG VfL Wittingen/Stöcken,7,0,0,0,False,,0.0,0.0
"Zawade, Ole",HSG Nord Edemissen/Uetze,7,2,2,0,False,,0.0,100.0
"Eberhardt, Janis",TV Uelzen,7,0,0,0,False,,0.0,0.0
"Kwiotek, Kevin",TV Uelzen,7,0,0,2,False,,0.0,0.0
"Rutz, Malte",BTSV Eintr. Braunschweig,7,0,0,1,False,,0.0,0.0
"Winkler, Kevin",MTV Groß Lafferde,7,0,0,0,False,,0.0,0.0
"Rosse, Matti",VfB Fallersleben,6,0,0,0,False,,0.0,0.0
"Sültmann, Malte",SG VfL Wittingen/Stöcken,6,0,0,0,False,,0.0,0.0
"Westphal, Jonas",Handballverein Lüneburg,6,0,1,3,False,,0.0,0.0
"Ott, Elias",HSG Seevetal/Ashausen,6,2,2,0,False,,0.0,100.0
"Dombrowski, Paul",Handballverein Lüneburg,6,0,1,2,False,,0.0,0.0
"Albrecht, Lars",HG ELM,6,0,1,3,False,,0.0,0.0
"Fürch, Maximilian",MTV Dannenberg,6,0,0,2,False,,0.0,0.0
"Drewes, Steffen",TV Uelzen,6,0,0,5,False,,0.0,0.0
"Hallmann, Marvin",TV E. Sehnde,6,0,0,2,False,,0.0,0.0
"Zander, Milan",Handballverein Lüneburg,5,0,0,0,False,,0.0,0.0
"Tepp, Adrian",TV E. Sehnde,5,0,0,1,False,,0.0,0.0
"Vahldiek, Kai",HG ELM,5,0,0,0,False,,0.0,0.0
"Schmidt, Marcel",VfB Fallersleben,5,0,1,1,False,,0.0,0.0
"Lechner, Jona Bennet",MTV Dannenberg,5,0,0,1,False,,0.0,0.0
"Mesenbring, Oke Bahne Kay",BTSV Eintr. Braunschweig,5,0,0,1,False,,0.0,0.0
"Krusch, Len",MTV Groß Lafferde,5,0,0,0,False,,0.0,0.0
"Lamken, Felix",VfB Fallersleben,5,0,0,0,False,,0.0,0.0
"Menssen, Keno",VfB Fallersleben,5,0,0,0,False,,0.0,0.0
"Noll, Christian",TV E. Sehnde,5,0,0,0,False,,0.0,0.0
"Ahrens, Jaron",MTV Eyendorf,5,0,0,0,False,,0.0,0.0
"Rolfs, Hendrik",SG VfL Wittingen/Stöcken,5,0,0,3,False,,0.0,0.0
"Hansen, Arne",MTV Groß Lafferde,5,0,0,0,False,,0.0,0.0
"Keßler, Jan Niclas",HSG Seevetal/Ashausen,5,0,0,3,False,,0.0,0.0
"Könemann, Jost",SG VfL Wittingen/Stöcken,5,0,0,1,False,,0.0,0.0
"Matthies, Marcel",MTV Eyendorf,4,0,0,0,False,,0.0,0.0
"Klautke, Enno",TV Uelzen,4,0,0,0,False,,0.0,0.0
"Hillnhagen, Simon",Handballverein Lüneburg,4,0,0,0,False,,0.0,0.0
"Kuprat, Maximilian",HSG Seevetal/Ashausen,4,0,0,0,False,,0.0,0.0
"Kristandt, André",VfB Fallersleben,4,0,0,1,False,,0.0,0.0
"Rösner, Niels",HG ELM,4,0,0,0,False,,0.0,0.0
"Schnackenberg, Jurek",Handballverein Lüneburg,4,0,0,3,False,,0.0,0.0
"Siepert, Florian",TV E. Sehnde,4,0,0,2,False,,0.0,0.0
"Böhme, Jan",HSG Seevetal/Ashausen,4,0,0,2,False,,0.0,0.0
"Bendrien, Paul",HSG Nord Edemissen/Uetze,4,0,0,1,False,,0.0,0.0
"Georgiev, Zwetan",VfB Fallersleben,4,0,0,1,False,,0.0,0.0
"Ott, Andreas",HSG Seevetal/Ashausen,4,3,5,0,False,,0.0,60.0
"Zwart, Patrick",HSG Seevetal/Ashausen,4,0,0,0,False,,0.0,0.0
"Ludwig, Finn-Lennart",MTV Dannenberg,4,0,0,7,False,,0.0,0.0
"Schoel, Martin",HG ELM,3,0,0,2,False,,0.0,0.0
"Bünning, Alexander",BTSV Eintr. Braunschweig,3,0,0,2,False,,0.0,0.0
"Witzke, Christopher",VfB Fallersleben,3,0,0,0,False,,0.0,0.0
"Oertzen, Raphael",MTV Eyendorf,3,0,0,1,False,,0.0,0.0
"Grönecke, Tim",MTV Dannenberg,3,0,0,0,False,,0.0,0.0
"Köster, Jonathan",MTV Eyendorf,3,0,0,0,False,,0.0,0.0
"Espenschied, Finn",BTSV Eintr. Braunschweig,3,0,0,1,False,,0.0,0.0
"Clemens, Vito",MTV Eyendorf,3,0,0,1,False,,0.0,0.0
"Binner, Justin",HG ELM,3,0,0,1,False,,0.0,0.0
"Stuhlmann, Felix",TV Uelzen,3,0,0,1,False,,0.0,0.0
"Wenk, Mathies",Handballverein Lüneburg,2,0,0,0,False,,0.0,0.0
"Zeitke, Tim",VfB Fallersleben,2,0,0,0,False,,0.0,0.0
"Dekarz, Steffen",MTV Eyendorf,2,0,0,0,False,,0.0,0.0
"Funke, Justus",TV Uelzen,2,0,0,0,False,,0.0,0.0
"Ulke, Tim",HSG Nord Edemissen/Uetze,2,0,0,2,False,,0.0,0.0
"Wegner, Marvin",SG VfL Wittingen/Stöcken,2,0,0,0,False,,0.0,0.0
"Türk, Jurek",BTSV Eintr. Braunschweig,2,0,0,1,False,,0.0,0.0
"Häberle, Joschua",BTSV Eintr. Braunschweig,2,0,0,0,False,,0.0,0.0
"Jübermann, Jens",MTV Eyendorf,2,0,0,0,False,,0.0,0.0
"Laucke, Paul",HSG Seevetal/Ashausen,2,0,0,1,False,,0.0,0.0
"Wendisch, Justin",HSG Seevetal/Ashausen,2,0,0,0,False,,0.0,0.0
"Krüger, Jan",BTSV Eintr. Braunschweig,2,0,0,0,False,,0.0,0.0
"Matthies, Alexander",MTV Eyendorf,2,0,0,2,False,,0.0,0.0
"Kolditz, Max-Richard",BTSV Eintr. Braunschweig,2,0,0,5,False,,0.0,0.0
"Kaiser, Jan",VfB Fallersleben,2,0,0,1,False,,0.0,0.0
"Stuber, Niclas",TV E. Sehnde,2,0,0,1,False,,0.0,0.0
"Schachtschneider, Nick",Handballverein Lüneburg,2,0,0,1,False,,0.0,0.0
"Petermichl, Claudio",MTV Eyendorf,2,0,0,1,False,,0.0,0.0
"Bendrien, Tom",HSG Nord Edemissen/Uetze,1,0,0,0,False,,0.0,0.0
"Böttger, Thilo",BTSV Eintr. Braunschweig,1,0,0,0,False,,0.0,0.0
"Büschen, Louis",SG VfL Wittingen/Stöcken,1,0,0,0,False,,0.0,0.0
"Gimmini, Manuel",MTV Dannenberg,1,0,0,0,False,,0.0,0.0
"Eilrich, Phillip",MTV Eyendorf,1,0,0,1,False,,0.0,0.0
"Lührs, Philip",SG VfL Wittingen/Stöcken,1,0,0,0,False,,0.0,0.0
"Hanke, Till",MTV Dannenberg,1,0,0,1,False,,0.0,0.0
"Pabusch, Steffen",MTV Eyendorf,1,0,0,0,False,,0.0,0.0
"Maack, Shawn Nicolas",HG ELM,1,0,0,1,False,,0.0,0.0
"Schmidt, Nick",SG VfL Wittingen/Stöcken,1,0,0,1,False,,0.0,0.0
"Schultze, Marten",SG VfL Wittingen/Stöcken,1,0,0,1,False,,0.0,0.0
"Stein, Alexander",Handballverein Lüneburg,1,0,0,0,False,,0.0,0.0
"Sommerburg, Dominic",TV Uelzen,1,0,0,0,False,,0.0,0.0
"Schmidt, Tom",MTV Groß Lafferde,1,0,0,1,False,,0.0,0.0
"Streit, Moritz",HSG Nord Edemissen/Uetze,1,0,0,0,False,,0.0,0.0
"Wartjes, Sebastian",HSG Seevetal/Ashausen,1,0,0,0,False,,0.0,0.0
"Todorski, Til",HSG Seevetal/Ashausen,1,0,0,1,False,,0.0,0.0
"Wenda, Sven",TV Uelzen,1,0,0,0,False,,0.0,0.0
"Wittenberg, Philipp",MTV Groß Lafferde,1,0,0,0,False,,0.0,0.0
