minute,team,stand_heim,stand_gast,spieler,ereignis
2.25,Heim,1.0,0.0,"Waschke, Marcel",7m-Tor
3.4833333333333334,Heim,2.0,0.0,"Strub, Georg",Tor
4.7,Heim,3.0,0.0,"Strub, Georg",Tor
5.9,Heim,4.0,0.0,"Waschke, Marcel",Tor
8.383333333333333,Heim,5.0,0.0,"Gottsknecht, Nico",Tor
10.15,Heim,6.0,0.0,"Zellmann, Niklas",Tor
12.583333333333334,Heim,7.0,0.0,"Krusch, Len",Tor
14.4,Heim,8.0,0.0,"Waschke, Marcel",7m-Tor
14.983333333333333,Gast,8.0,1.0,"Streit, Moritz",Tor
15.083333333333334,Heim,9.0,1.0,"Zellmann, Niklas",Tor
16.25,Heim,10.0,1.0,"Zellmann, Niklas",Tor
20.566666666666666,Gast,10.0,2.0,"Rauls, Lennart",Tor
21.0,Heim,11.0,2.0,"Waschke, Marcel",Tor
22.15,Heim,12.0,2.0,"Hansen, Lars",Tor
22.833333333333332,Heim,13.0,2.0,"Hansen, Lars",Tor
23.033333333333335,Gast,13.0,3.0,"Rauls, Lennart",Tor
23.566666666666666,Heim,14.0,3.0,"Reuter, Sören",Tor
23.816666666666666,Heim,15.0,3.0,"Hansen, Arne",Tor
25.6,Heim,16.0,3.0,"Hansen, Lars",Tor
26.15,Heim,17.0,3.0,"Hansen, Arne",Tor
27.15,Heim,18.0,3.0,"Hansen, Lars",7m-Tor
28.333333333333332,Gast,18.0,4.0,"Ulke, Tim",Tor
28.45,Heim,19.0,4.0,"Reuter, Sören",Tor
29.116666666666667,Heim,20.0,4.0,"Hansen, Lars",7m-Tor
29.7,Gast,20.0,5.0,"Ulke, Tim",Tor
30.666666666666668,Heim,21.0,5.0,"Alcape Meyer, Afonso",Tor
32.36666666666667,Heim,22.0,5.0,"Alcape Meyer, Afonso",Tor
33.416666666666664,Gast,22.0,6.0,"Rauls, Lennart",7m-Tor
34.53333333333333,Gast,22.0,7.0,"Wietfeld, Jonas",Tor
34.71666666666667,Heim,23.0,7.0,"Krusch, Len",Tor
35.4,Gast,23.0,8.0,"Rauls, Lennart",7m-Tor
36.333333333333336,Heim,24.0,8.0,"Wittenberg, Philipp",Tor
37.333333333333336,Gast,24.0,9.0,"Rauls, Lennart",7m-Tor
37.93333333333333,Heim,25.0,9.0,"Gottsknecht, Nico",Tor
38.35,Gast,25.0,10.0,"Wietfeld, Jonas",Tor
39.983333333333334,Heim,26.0,10.0,"Hansen, Lars",7m-Tor
42.483333333333334,Gast,26.0,11.0,"Wietfeld, Jonas",Tor
42.96666666666667,Heim,27.0,11.0,"Strub, Georg",Tor
44.483333333333334,Heim,28.0,11.0,"Strub, Georg",Tor
45.233333333333334,Heim,29.0,11.0,"Waschke, Marcel",Tor
45.733333333333334,Heim,30.0,11.0,"Alcape Meyer, Afonso",Tor
46.583333333333336,Gast,30.0,12.0,"Rauls, Lennart",Tor
46.71666666666667,Heim,31.0,12.0,"Reuter, Sören",Tor
47.233333333333334,Heim,32.0,12.0,"Waschke, Marcel",Tor
48.65,Heim,33.0,12.0,"Waschke, Marcel",Tor
49.46666666666667,Gast,33.0,13.0,"Bendrien, Paul",Tor
50.7,Heim,34.0,13.0,"Zellmann, Niklas",Tor
51.36666666666667,Heim,35.0,13.0,"Waschke, Marcel",Tor
52.65,Heim,36.0,13.0,"Krusch, Len",Tor
53.15,Gast,36.0,14.0,"Benefeldt, Niklas",Tor
54.38333333333333,Heim,37.0,14.0,"Zellmann, Niklas",Tor
55.03333333333333,Gast,37.0,15.0,"Zawade, Ole",7m-Tor
55.2,Heim,38.0,15.0,"Zellmann, Niklas",Tor
56.016666666666666,Heim,39.0,15.0,"Reuter, Sören",Tor
56.9,Heim,40.0,15.0,"Hansen, Arne",Tor
57.53333333333333,Gast,40.0,16.0,"Zawade, Ole",7m-Tor
58.766666666666666,Heim,41.0,16.0,"Hansen, Lars",Tor
59.96666666666667,Heim,42.0,16.0,"Hansen, Arne",Tor
